alaska	AK
alabama	AL
arkansas	AR
arizona	AZ
california	CA
colorado	CO
connecticut	CT
districtofcolumbia	DC
delaware	DE
florida	FL
georgia	GA
hawaii	HI
iowa	IA
idaho	ID
illinois	IL
indiana	IN
kansas	KS
kentucky	KY
louisiana	LA
massachusetts	MA
maryland	MD
maine	ME
michigan	MI
minnesota	MN
missouri	MO
mississippi	MS
montana	MT
northcarolina	NC
northdakota	ND
nebraska	NE
newhampshire	NH
newjersey	NJ
newmexico	NM
nevada	NV
newyork	NY
ohio	OH
oklahoma	OK
oregon	OR
pennsylvania	PA
rhodeisland	RI
southcarolina	SC
southdakota	SD
tennessee	TN
texas	TX
utah	UT
virginia	VA
vermont	VT
washington	WA
wisconsin	WI
westvirginia	WV
wyoming	WY
